E 57TH DR,40.7601787,-73.967331
E 57TH ST,40.7601787,-73.967331
E 58TH ST,40.7607719,-73.9666464
E 59TH ST,40.7613278,-73.9660415
E 60TH ST,40.7619245,-73.9655044
E 61ST PL,36.0742317,-95.9160722
E 61ST ST,40.7624726,-73.9648836
E 62ND PL,36.0732484,-95.8932265
E 62ND ST,40.7630254,-73.9642329
E 63RD PL,36.0716522,-95.894881
E 63RD ST,40.7638412,-73.9642151
E 64TH PL,36.0701384,-95.9088458
E 64TH ST,40.7645947,-73.9640698
E 65TH PL,36.0685162,-95.9000749
E 65TH ST,40.7668879,-73.9675776
E 66TH PL,36.0674275,-95.9579041
E 66TH ST,40.7661161,-73.9638028
E 67TH PL,36.0664951,-95.8774738
E 67TH ST,40.7663871,-73.9625211
E 68TH ST,40.7667038,-73.9613189
E 69TH PL,41.7684957,-87.6056461
E 69TH ST,40.767812,-73.962014
E 70TH PL,41.767128,-87.5681728
E 70TH ST,40.768012,-73.9605413
E 71ST PL,41.7651459,-87.5859097
E 71ST ST,40.7685169,-73.9597965
E 72ND PL,41.7634107,-87.5780877
E 72ND ST,40.7692518,-73.9594312
E 73RD PL,41.7623492,-87.5920973
E 73RD ST,40.7698166,-73.9586598
E 74TH PL,36.0549632,-95.9459297
E 74TH ST,40.7705669,-73.9584414
E 75TH PL,36.0548785,-95.9217298
E 75TH ST,40.7710852,-73.9577386
E 76TH PL,33.9707271,-118.2545436
E 76TH ST,40.7716597,-73.9571116
E 77TH PL,36.0523246,-95.8893453
E 77TH ST,40.7726397,-73.9574725
E 78TH ST,40.7729951,-73.9563487
E 79TH PL,39.8408162,-104.912621
E 79TH ST,40.7736394,-73.9558319
E 80TH PL,41.7492157,-87.5516165
E 80TH ST,40.7742667,-73.9551271
E 81ST PL,36.0457996,-95.8918583
E 81ST ST,36.046364,-95.8866022
E 82ND PL,39.846213,-104.9019864
E 82ND ST,40.7754782,-73.9540605
E 83RD PL,41.743253,-87.5879899
E 83RD ST,40.7761149,-73.9536072
E 84TH PL,41.7414296,-87.5879475
E 84TH ST,40.7772689,-73.9543839
E 85TH ST,40.7781416,-73.9544916
E 86TH PL,41.7377827,-87.5878759
E 86TH ST,40.7780641,-73.9521899
E 87TH PL,33.9583534,-118.2586075
E 87TH ST,40.778951,-73.9521984
E 88TH PL,41.7339183,-87.6039825
E 88TH ST,40.7794483,-73.9514145
E 89TH PL,41.7320501,-87.6071384
E 89TH ST,40.7800581,-73.9509272
E 90TH PL,41.7302695,-87.6039233
E 90TH ST,40.7810472,-73.9513046
E 91ST PL,41.7284947,-87.6009633
E 91ST ST,40.7820259,-73.9516558
E 92ND PL,41.7269078,-87.5849702
E 92ND ST,40.7825512,-73.9510024
E 93RD CT,36.0295647,-95.9257846
E 93RD PL,39.8653716,-104.9510351
E 93RD ST,40.7832685,-73.9507498
E 94TH ST,40.7843337,-73.9513217
E 95TH PL,36.0241927,-95.881108
E 95TH ST,40.7846912,-73.9502432
E 96TH ST,40.7853417,-73.9496916
E 97TH PL,41.7179515,-87.5740203
E 97TH ST,40.7861708,-73.9495271
E 98TH PL,36.0207819,-95.8826726
E 98TH ST,40.7878021,-73.9514606
E 99TH PL,36.019649,-95.8819456
E 99TH ST,40.7869318,-73.9474712
E 9TH ST,40.7285865,-73.9857962
E ADAMS ST,32.2407636,-110.9482409
E BALBO AVE,41.8731844,-87.6223292
E BALBO DR,41.8731844,-87.6223292
E BANKS ST,41.9067891,-87.6275166
E BELLEVUE PL,41.9015823,-87.6259955
E BENTON PL,41.8854929,-87.6189918
E BISHOP FORD EXPY ER,41.6603155,-87.5892011
E BISHOP FORD EXPY OB,41.6603155,-87.5892011
E BISHOP FORD STONY ISLAND AV XR,41.6603155,-87.5892011
E BOWEN AVE,41.8194681,-87.6076974
E BRAYTON ST,40.8916874,-73.9632015
E BROWNING AVE,36.8195194,-119.772495
E BURTON PL,41.9095035,-87.6276011
E CEDAR ST,41.9023783,-87.6267359
E CERMAK RD,41.8528093,-87.6232169
E CHELTENHAM DR,34.140081,-118.4247628
E CHELTENHAM PL,41.7539808,-87.5459583
E CHESTNUT ST,41.8984031,-87.6231407
E CHICAGO AVE,41.8967603,-87.6225906
E CHICAGO RIVER,41.88777628,-87.62295413
E CONGRESS PKWY,42.2314843,-88.3059218
E CULLERTON ST,41.855503,-87.6230263
E DELAWARE PL,41.8992157,-87.6234078
E DIVISION ST,32.7426212,-97.0772725
E DREXEL SQUARE DR,41.8013929,-87.6051742
E EASTGATE PL,41.8467208,-87.6183248
E ERIE ST,41.8941713,-87.6217435
E FINSBURY CT,41.8459143,-87.6181391
E GARFIELD BLVD,41.7947044,-87.6207397
E GOETHE ST,41.9058259,-87.6273096
E GRAND AVE,33.1284547,-117.0625689
E GROVELAND PARK,41.833407,-87.6104216
E HARRISON ST,47.622072,-122.3073237
E HAYES DR,41.7798042,-87.5798068
E HUBBARD ST,41.8900877,-87.6260268
E HURON ST,41.8949694,-87.6220415
E HYDE PARK BLVD,41.8023941,-87.5934695
E I57 BISHOP FORD EXPY XR,41.7202357,-87.6246732
E I57 EXPY XR,39.271965,-88.4686351
E ILLINOIS LOWER ST,41.8910166,-87.6198982
E ILLINOIS ST,41.8910166,-87.6198982
E JACKSON BLVD,41.8782435,-87.626091
E JACKSON DR,39.0410436,-94.3458617
E KENSINGTON AVE,40.7363531,-111.8535306
E KINZIE ST,41.8887431,-87.6744146
E LAKE SHORE DR,39.8261119,-88.9393083
